Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,specific_model
2015 Daihatsu Terios,Automatic,"NRP4,600,000.00",,,,,Daihatsu Terios
2010 Toyota Fortuner,Tiptronic,"NRP5,800,000.00",,,,,Fortuner
2013 Toyota Etios,Automatic,"NRP1,850,000.00",,,,,Etios
2016 Renault Duster Rxz,Automatic,"NRP3,600,000.00",,,,,Duster Rxz
2017 Renault Kwid,Automatic,"NRP1,675,000.00",,,,,Kwid
2017 Renault Kwid,Automatic,"NRP1,450,000.00",,,,,Kwid
2018 Renault Duster Rxz,Automatic,"NRP2,750,000.00",,,,,Duster Rxz
2017 Renault Kwid,Automatic,"NRP1,425,000.00",,,,,Kwid
2011 Mitsubishi Asx,Automatic,"NRP5,299,000.00",,,,,Asx
2013 Mitsubishi Pajero Evolution,Automatic,"NRP11,500,000.00",,,,,Pajero Evolution
2016 Mitsubishi Outlander,Automatic,"NRP7,800,000.00",,,,,Outlander
2016 Mitsubishi Outlander,Automatic,"NRP6,500,000.00",,,,,Outlander
2019 Mahindra Scorpio,Automatic,"NRP4,750,000.00",,,,,Scorpio
2019 Mahindra Scorpio,Automatic,"NRP3,999,000.00",,,,,Scorpio
2019 Mahindra Scorpio,Automatic,"NRP5,125,000.00",,,,,Scorpio
2002 Mahindra Scorpio,Automatic,"NRP1,750,000.00",,,,,Scorpio
2015 Mahindra Bolero,Manual,"NRP1,850,000.00",,,,,Bolero
2016 Mahindra Scorpio,Automatic,"NRP2,850,000.00",,,,,Scorpio
2020 Mahindra Bolero,Automatic,"NRP2,650,000.00",,,,,Bolero
2018 Mahindra Scorpio,Automatic,"NRP4,490,000.00",,,,,Scorpio
2002 Mahindra Scorpio,Automatic,"NRP1,499,000.00",,,,,Scorpio
2017 Hyundai Active S,Automatic,"NRP2,950,000.00",,,,,Active S
2014 Hyundai I10,Automatic,"NRP1,975,000.00",,,,,I10
2006 Hyundai Getz,Automatic,"NRP925,000.00",,,,,Getz
2018 Hyundai Creta Sx,Automatic,"NRP4,950,000.00",,,,,Creta Sx
2013 Hyundai I10,Automatic,"NRP2,150,000.00",,,,,I10
2015 Hyundai Eon Magna,Automatic,"NRP1,475,000.00",,,,,Eon Magna
2015 Hyundai I10,Automatic,"NRP2,325,000.00",,,,,I10
2014 Hyundai Verna,Automatic,"NRP2,450,000.00",,,,,Verna
2019 Hyundai Kona 2019 Long Range,Automatic,"NRP5,650,000.00",,,,,Kona Long Range
2009 Hyundai Getz,Automatic,"NRP1,150,000.00",,,,,Getz
2015 Volkswagen Polo,Automatic,"NRP2,550,000.00",,,,,Polo
2011 Volkswagen Polo,Automatic,"NRP1,650,000.00",,,,,Polo
2015 Volkswagen Jetta,Automatic,"NRP4,100,000.00",,,,,Jetta
2017 Volkswagen Polo,Automatic,"NRP2,799,000.00",,,,,Polo
2013 Volkswagen Polo,Automatic,"NRP2,075,000.00",,,,,Polo
2010 Volkswagen Tiguan,Automatic,"NRP4,200,000.00",,,,,Tiguan
2014 Volkswagen Polo,Automatic,"NRP2,075,000.00",,,,,Polo
2013 Volkswagen Polo,Automatic,"NRP2,500,000.00",,,,,Polo
2013 Volkswagen Polo,Automatic,"NRP2,075,000.00",,,,,Polo
2015 Volkswagen Crosspolo,Automatic,"NRP2,399,000.00",,,,,Crosspolo
2019 Volkswagen Highline,Automatic,"NRP2,875,000.00",,,,,Highline
2011 Volkswagen Vento,Automatic,"NRP2,350,000.00",,,,,Vento
2014 Volkswagen Vento,Automatic,"NRP2,200,000.00",,,,,Vento
2011 Volkswagen Polo,Automatic,"NRP1,550,000.00",,,,,Polo
2015 Volkswagen Tiguan,Automatic,"NRP6,200,000.00",,,,,Tiguan
2010 Volkswagen Tiguan,Automatic,"NRP3,850,000.00",,,,,Tiguan
2013 Volkswagen Vento,Automatic,"NRP2,275,000.00",,,,,Vento
2011 Volkswagen Vento,Automatic,"NRP2,300,000.00",,,,,Vento
2014 Volkswagen Polo,Automatic,"NRP2,350,000.00",,,,,Polo
2015 Volkswagen Vento,Automatic,"NRP2,450,000.00",,,,,Vento
2015 Volkswagen Polo,Automatic,"NRP2,375,000.00",,,,,Polo
2010 Volkswagen Vento,Automatic,"NRP2,500,000.00",,,,,Vento
2014 Volkswagen Polo,Automatic,"NRP1,950,000.00",,,,,Polo
2015 Volkswagen Polo,Automatic,"NRP2,075,000.00",,,,,Polo
2014 Volkswagen Vento,Automatic,"NRP2,250,000.00",,,,,Vento
2014 Volkswagen Polo,Automatic,"NRP1,725,000.00",,,,,Polo
2012 Volkswagen Polo,Automatic,"NRP1,650,000.00",,,,,Polo
2013 Volkswagen Polo,Automatic,"NRP1,900,000.00",,,,,Polo
2013 Volkswagen Polo,Automatic,"NRP1,900,000.00",,,,,Polo
2013 Volkswagen Polo Gti,Automatic,"NRP2,450,000.00",,,,,Polo Gti
2012 Volkswagen Highline,Automatic,"NRP1,725,000.00",,,,,Highline
2014 Volkswagen Crosspolo,Automatic,"NRP3,700,000.00",,,,,Crosspolo
2013 Volkswagen Golf Gt,Automatic,"NRP4,700,000.00",,,,,Golf Gt
2016 Volkswagen Beetle,Tiptronic,"NRP5,250,000.00",,,,,Beetle
2019 Nissan Kicks Xv Premium,Automatic,"NRP4,650,000.00",,,,,Kicks Xv Premium
2008 Nissan X Trail,Automatic,"NRP2,650,000.00",,,,,X Trail
2007 Nissan Tiida Japanese,Automatic,"NRP1,200,000.00",,,,,Tiida Japanese
2019 Nissan Kicks Xv Premium,Automatic,"NRP4,550,000.00",,,,,Kicks Xv Premium
2022 Nissan Magnite Xe,Automatic,"NRP2,750,000.00",,,,,Magnite Xe
2016 Nissan Datsun,Automatic,"NRP1,375,000.00",,,,,Datsun
2016 Ford Ecosport,Automatic,"NRP2,425,000.00",,,,,Ecosport
2014 Ford Ecosport,Automatic,"NRP2,425,000.00",,,,,Ecosport
2012 Ford Figo Titanium,Automatic,"NRP1,990,000.00",,,,,Figo Titanium
2015 Ford Ecosport,Automatic,"NRP2,775,000.00",,,,,Ecosport
2013 Ford Titanium,Automatic,"NRP2,525,000.00",,,,,Titanium
2015 Ford Ecosport,Automatic,"NRP2,425,000.00",,,,,Ecosport
2014 Ford Titanium,Automatic,"NRP1,525,000.00",,,,,Titanium
2016 Ford Ecosport,Automatic,"NRP2,825,000.00",,,,,Ecosport
2013 Ford Figo Titanium,Automatic,"NRP1,450,000.00",,,,,Figo Titanium
2013 Ford Figo Titanium,Automatic,"NRP1,350,000.00",,,,,Figo Titanium
2016 Ford Figo Titanium,Automatic,"NRP1,775,000.00",,,,,Figo Titanium
2018 Ford Edge Sport,Automatic,"NRP3,399,000.00",,,,,Edge Sport
2019 Ford Ecosport,Automatic,"NRP3,499,000.00",,,,,Ecosport
2018 Ford Titanium,Automatic,"NRP3,250,000.00",,,,,Titanium
2016 Ford Figo Titanium,Automatic,"NRP1,675,000.00",,,,,Figo Titanium
2010 Ford Figo Titanium,Automatic,"NRP1,200,000.00",,,,,Figo Titanium
2016 Ford Figo Titanium,Automatic,"NRP1,775,000.00",,,,,Figo Titanium
2016 Ford Ecosport,Automatic,"NRP2,250,000.00",,,,,Ecosport
2013 Ford Figo Titanium,Automatic,"NRP1,475,000.00",,,,,Figo Titanium
2013 Ford Figo Titanium,Automatic,"NRP1,225,000.00",,,,,Figo Titanium
2013 Ford Titanium,Automatic,"NRP2,650,000.00",,,,,Titanium
2020 Ford Ecosport,Automatic,"NRP3,400,000.00",,,,,Ecosport
2011 Ford Figo Titanium,Automatic,"NRP1,250,000.00",,,,,Figo Titanium
2018 Ford Ecosport,Automatic,"NRP2,650,000.00",,,,,Ecosport
2017 Ford Aspire Titanium,Automatic,"NRP1,950,000.00",,,,,Aspire Titanium
2019 Ford Ecosport,Automatic,"NRP3,300,000.00",,,,,Ecosport
2016 Ford Aspire Titanium,Automatic,"NRP1,950,000.00",,,,,Aspire Titanium
2016 Ford Ecosport,Automatic,"NRP2,650,000.00",,,,,Ecosport
2020 Hyundai Creta Sx,Automatic,"NRP5,800,000.00",,,,,Creta Sx
2016 Hyundai Creta Sx,Automatic,"NRP4,400,000.00",,,,,Creta Sx
2016 Hyundai I10,Automatic,"NRP2,650,000.00",,,,,I10
2015 Hyundai Eon Magna,Automatic,"NRP1,550,000.00",,,,,Eon Magna
2015 Hyundai I20,Tiptronic,"NRP2,650,000.00",,,,,I20
2010 Volkswagen Polo,Tiptronic,"NRP1,450,000.00",,,,,Polo
2015 Volkswagen Polo,Tiptronic,"NRP2,550,000.00",,,,,Polo
2011 Volkswagen Polo,Tiptronic,"NRP1,650,000.00",,,,,Polo
2015 Volkswagen Jetta,Tiptronic,"NRP4,100,000.00",,,,,Jetta
2017 Volkswagen Polo,Tiptronic,"NRP2,799,000.00",,,,,Polo
2013 Volkswagen Polo,Tiptronic,"NRP2,075,000.00",,,,,Polo
2010 Volkswagen Tiguan,Automatic,"NRP4,200,000.00",,,,,Tiguan
2014 Volkswagen Polo,Tiptronic,"NRP2,075,000.00",,,,,Polo
2013 Volkswagen Taigun Concept,Tiptronic,"NRP6,200,000.00",,,,,Taigun Concept
2015 Volkswagen Polo,Tiptronic,"NRP239,000.00",,,,,Polo
2016 Volkswagen Polo,Tiptronic,"NRP2,599,000.00",,,,,Polo
2013 Volkswagen Polo,Tiptronic,"NRP2,500,000.00",,,,,Polo
2013 Volkswagen Polo,Tiptronic,"NRP2,075,000.00",,,,,Polo
2015 Volkswagen Polo,Tiptronic,"NRP2,399,000.00",,,,,Polo
2019 Volkswagen Highline,Tiptronic,"NRP2,875,000.00",,,,,Highline
2011 Volkswagen Vento,Tiptronic,"NRP2,350,000.00",,,,,Vento
2014 Volkswagen Vento,Tiptronic,"NRP2,200,000.00",,,,,Vento
2011 Volkswagen Polo,Tiptronic,"NRP1,150,000.00",,,,,Polo
2015 Volkswagen Taigun Concept,Tiptronic,"NRP6,200,000.00",,,,,Taigun Concept
2010 Volkswagen Taigun Concept,Tiptronic,"NRP3,850,000.00",,,,,Taigun Concept
2013 Volkswagen Vento,Tiptronic,"NRP2,275,000.00",,,,,Vento
2011 Volkswagen Vento,Tiptronic,"NRP2,300,000.00",,,,,Vento
2014 Volkswagen Polo,Tiptronic,"NRP2,350,000.00",,,,,Polo
2015 Volkswagen Vento,Tiptronic,"NRP2,450,000.00",,,,,Vento
2015 Volkswagen Polo,Tiptronic,"NRP2,375,000.00",,,,,Polo
2016 Volkswagen Vento,Tiptronic,"NRP2,500,000.00",,,,,Vento
2014 Volkswagen Polo,Tiptronic,"NRP1,950,000.00",,,,,Polo
2015 Volkswagen Polo,Tiptronic,"NRP2,075,000.00",,,,,Polo
2014 Volkswagen Vento,Tiptronic,"NRP2,250,000.00",,,,,Vento
2014 Volkswagen Polo,Tiptronic,"NRP1,725,000.00",,,,,Polo
2012 Volkswagen Polo,Tiptronic,"NRP1,650,000.00",,,,,Polo
2013 Volkswagen Polo,Automatic,"NRP1,900,000.00",,,,,Polo
2013 Volkswagen Polo,Tiptronic,"NRP1,900,000.00",,,,,Polo
2013 Volkswagen Polo,Tiptronic,"NRP2,450,000.00",,,,,Polo
2012 Volkswagen Highline,Tiptronic,"NRP1,725,000.00",,,,,Highline
2014 Volkswagen Crosspolo,Tiptronic,"NRP2,299,000.00",,,,,Crosspolo
2013 Volkswagen Golf Gt,Tiptronic,"NRP2,450,000.00",,,,,Golf Gt
2016 Volkswagen Beetle,Tiptronic,"NRP5,250,000.00",,,,,Beetle
2008 Kia Picanto,Manual,"NRP975,000.00",,,,,Picanto
2005 Kia Sportage,Automatic,"NRP1,750,000.00",,,,,Sportage
2008 Kia Picanto,Manual,"NRP1,025,000.00",,,,,Picanto
2021 Kia Seltos,Tiptronic,"NRP5,990,000.00",,,,,Seltos
2016 Kia Sportage,Tiptronic,"NRP6,900,000.00",,,,,Sportage
2008 Kia Rio,Tiptronic,"NRP1,275,000.00",,,,,Rio
2008 Kia Picanto,Manual,"NRP1,100,000.00",,,,,Picanto
2020 Kia Seltos,Tiptronic,"NRP5,690,000.00",,,,,Seltos
2010 Kia Sedona,Manual,"NRP1,350,000.00",,,,,Sedona
2016 Kia Soul,Tiptronic,"NRP3,100,000.00",,,,,Soul
2021 Kia Sonet 15 Htx,Tiptronic,"NRP4,500,000.00",,,,,Sonet 15 Htx
2010 Kia Picanto,Tiptronic,"NRP1,225,000.00",,,,,Picanto
2011 Kia Picanto,Tiptronic,"NRP1,400,000.00",,,,,Picanto
2018 Kia Sportage,Tiptronic,"NRP5,650,000.00",,,,,Sportage
2011 Kia Rio,Tiptronic,"NRP1,550,000.00",,,,,Rio
2019 Kia Seltos,Tiptronic,"NRP4,450,000.00",,,,,Seltos
2009 Kia Rio,Tiptronic,"NRP1,175,000.00",,,,,Rio
2022 Kia Sonet 15 Htx,Tiptronic,"NRP4,700,000.00",,,,,Sonet 15 Htx
2018 Kia Sportage,Tiptronic,"NRP5,400,000.00",,,,,Sportage
2013 Ford Figo Titanium,Manual,"NRP1,475,000.00",,,,,Figo Titanium
2013 Ford Figo Titanium,Manual,"NRP1,225,000.00",,,,,Figo Titanium
2021 Ford Ecosport,Automatic,"NRP2,650,000.00",,,,,Ecosport
2020 Ford Ecosport,Tiptronic,"NRP3,400,000.00",,,,,Ecosport
2011 Ford Figo Titanium,Tiptronic,"NRP1,250,000.00",,,,,Figo Titanium
2018 Ford Ecosport,Tiptronic,"NRP2,650,000.00",,,,,Ecosport
2017 Ford Aspire Titanium,Tiptronic,"NRP1,950,000.00",,,,,Aspire Titanium
2019 Ford Ecosport,Tiptronic,"NRP3,300,000.00",,,,,Ecosport
2016 Ford Aspire Titanium,Tiptronic,"NRP1,950,000.00",,,,,Aspire Titanium
2016 Ford Ecosport,Tiptronic,"NRP2,650,000.00",,,,,Ecosport
2016 Ford Ecosport,Tiptronic,"NRP2,450,000.00",,,,,Ecosport
2014 Ford Ecosport,Tiptronic,"NRP2,325,000.00",,,,,Ecosport
2014 Toyota Hilux,Tiptronic,"NRP6,299,000.00",,,,,Hilux
2003 Toyota Yaris,Manual,"NRP1,075,000.00",,,,,Yaris
2004 Toyota Corolla,Tiptronic,"NRP1,625,000.00",,,,,Corolla
2019 Hyundai Kona 2019 Long Range,Tiptronic,"NRP5,650,000.00",,,,,Kona Long Range
2009 Hyundai I10,Automatic,"NRP1,375,000.00",,,,,I10
2009 Hyundai Getz,Tiptronic,"NRP1,150,000.00",,,,,Getz
2013 Hyundai Eon Magna,Manual,"NRP1,425,000.00",,,,,Eon Magna
2012 Hyundai Eon Era Plus,Manual,"NRP1,175,000.00",,,,,Eon Era Plus
2015 Hyundai I10,Tiptronic,"NRP2,150,000.00",,,,,I10
2014 Hyundai I10,Tiptronic,"NRP2,200,000.00",,,,,I10
2016 Hyundai Creta Sx,Tiptronic,"NRP3,850,000.00",,,,,Creta Sx
2004 Hyundai Getz,Tiptronic,"NRP725,000.00",,,,,Getz
2015 Hyundai I10,Tiptronic,"NRP2,075,000.00",,,,,I10
2014 Hyundai I10,Tiptronic,"NRP2,250,000.00",,,,,I10
2017 Hyundai Active S,Tiptronic,"NRP2,950,000.00",,,,,Active S
2014 Hyundai Grand,Tiptronic,"NRP1,975,000.00",,,,,Grand
2013 Hyundai Eon Era Plus,Manual,"NRP1,250,000.00",,,,,Eon Era Plus
2018 Hyundai I10,Tiptronic,"NRP2,400,000.00",,,,,I10
2014 Hyundai I10,Tiptronic,"NRP2,250,000.00",,,,,I10
2016 Hyundai Creta Sx,Tiptronic,"NRP3,900,000.00",,,,,Creta Sx
2019 Hyundai Santro Era,Tiptronic,"NRP2,000,000.00",,,,,Santro Era
2017 Hyundai I20,Tiptronic,"NRP2,750,000.00",,,,,I20
2013 Hyundai I10,Tiptronic,"NRP1,650,000.00",,,,,I10
2019 Hyundai Santro Sportz,Tiptronic,"NRP2,250,000.00",,,,,Santro Sportz
2016 Hyundai Creta Sx,Tiptronic,"NRP4,400,000.00",,,,,Creta Sx
2017 Hyundai Eon Magna,Tiptronic,"NRP1,625,000.00",,,,,Eon Magna
2018 Hyundai I10,Tiptronic,"NRP2,450,000.00",,,,,I10
2017 Hyundai Creta E,Tiptronic,"NRP3,600,000.00",,,,,Creta E
2016 Hyundai Creta Sx,Tiptronic,"NRP4,400,000.00",,,,,Creta Sx
2016 Hyundai I10,Tiptronic,"NRP2,650,000.00",,,,,I10
2015 Hyundai Eon Magna,Tiptronic,"NRP1,550,000.00",,,,,Eon Magna
2015 Hyundai I20,Tiptronic,"NRP2,650,000.00",,,,,I20
2010 Hyundai I20,Tiptronic,"NRP1,450,000.00",,,,,I20
2010 Hyundai I20,Tiptronic,"NRP1,550,000.00",,,,,I20
2019 Ford Figo Titanium,Tiptronic,"NRP2,700,000.00",,,,,Figo Titanium
2018 Ford Ecosport,Tiptronic,"NRP2,625,000.00",,,,,Ecosport
2014 Ford Figo Titanium,Tiptronic,"NRP1,225,000.00",,,,,Figo Titanium
2020 Ford Figo Titanium,Tiptronic,"NRP2,150,000.00",,,,,Figo Titanium
2017 Hyundai Grand,Tiptronic,"NRP2,750,000.00",,,,,Grand
2018 Hyundai I20,Tiptronic,"NRP1,550,000.00",,,,,I20
2021 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP1,399,000.00",,,,,Baleno
2021 Hyundai Grand,Tiptronic,"NRP2,875,000.00",,,,,Grand
2016 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP2,250,000.00",,,,,Baleno
2017 Hyundai Grand,Tiptronic,"NRP2,750,000.00",,,,,Grand
2014 Ford Figo Titanium,Tiptronic,"NRP1,225,000.00",,,,,Figo Titanium
2016 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP2,350,000.00",,,,,Baleno
2016 Ford Ecosport,Tiptronic,"NRP2,450,000.00",,,,,Ecosport
2008 Suzuki Swift,Tiptronic,"NRP1,375,000.00",,,,,Swift
